#{"t_start": 1717608272.317027, "env_id": "MountainCarSuccess-v0"}
r,l,t
-200.0,200,0.828704
-200.0,200,0.981951
-200.0,200,1.132546
-200.0,200,1.280151
-200.0,200,1.432751
-200.0,200,1.583564
-200.0,200,1.737657
-200.0,200,1.900858
-200.0,200,2.050023
-200.0,200,2.200044
-200.0,200,3.874619
-200.0,200,4.036705
-200.0,200,4.1986
-200.0,200,4.356683
-200.0,200,4.518754
-200.0,200,4.666872
-200.0,200,4.816975
-200.0,200,4.966599
-200.0,200,5.11947
-200.0,200,5.268758
-200.0,200,7.170684
-200.0,200,7.341773
-200.0,200,7.497538
-200.0,200,7.649672
-200.0,200,7.804158
-200.0,200,7.956884
-200.0,200,8.102829
-200.0,200,8.251778
-200.0,200,8.39889
-200.0,200,8.558967
-200.0,200,10.324836
-200.0,200,10.529052
-200.0,200,10.70957
-200.0,200,10.918879
-200.0,200,11.140666
-200.0,200,11.298803
-200.0,200,11.452408
-200.0,200,11.616982
-200.0,200,11.783086
-200.0,200,11.953874
-200.0,200,13.7236
-200.0,200,13.918586
-200.0,200,14.078174
-200.0,200,14.226795
-200.0,200,14.377905
-200.0,200,14.538017
-200.0,200,14.710306
-200.0,200,14.860527
-200.0,200,15.006138
-200.0,200,15.183646
-200.0,200,15.348743
-200.0,200,17.334861
-200.0,200,17.482986
-200.0,200,17.636607
-200.0,200,17.792699
-200.0,200,17.935821
-200.0,200,18.102558
-200.0,200,18.254668
-200.0,200,18.409759
-200.0,200,18.57582
-200.0,200,18.724926
-200.0,200,20.49589
-200.0,200,20.663946
-200.0,200,20.840495
-200.0,200,21.000602
-200.0,200,21.152711
-200.0,200,21.32076
-200.0,200,21.472859
-200.0,200,21.624957
-200.0,200,21.776551
-200.0,200,21.928649
-200.0,200,23.564628
-200.0,200,23.743655
-200.0,200,23.903732
-200.0,200,24.058717
-200.0,200,24.235901
-200.0,200,24.464388
-200.0,200,24.640807
-200.0,200,24.788918
-200.0,200,24.93752
-200.0,200,25.09316
