#{"t_start": 1717424789.392761, "env_id": "CartPole-v1"}
r,l,t
11.0,11,0.020944
23.0,23,0.042885
9.0,9,0.051861
53.0,53,0.101727
18.0,18,0.118682
12.0,12,0.130651
39.0,39,0.168549
13.0,13,0.181515
26.0,26,0.206448
12.0,12,0.216421
13.0,13,0.226394
31.0,31,0.251328
20.0,20,0.267285
30.0,30,0.290225
22.0,22,0.307179
31.0,31,0.331116
23.0,23,0.349068
13.0,13,0.359041
20.0,20,0.374002
11.0,11,0.382977
20.0,20,0.398935
11.0,11,0.406913
47.0,47,0.443815
26.0,26,0.463762
9.0,9,0.47174
15.0,15,0.482711
29.0,29,0.50565
40.0,40,0.536567
17.0,17,0.548535
25.0,25,0.568482
28.0,28,0.589424
22.0,22,0.606379
16.0,16,0.618347
22.0,22,0.635302
59.0,59,0.681179
16.0,16,0.694144
15.0,15,0.70711
47.0,47,0.742016
11.0,11,0.750993
28.0,28,0.771938
10.0,10,0.779916
13.0,13,0.78989
25.0,25,0.808839
24.0,24,0.826792
19.0,19,0.841751
20.0,20,0.856711
14.0,14,0.867682
16.0,16,0.880647
22.0,22,0.8976
31.0,31,0.921538
14.0,14,0.932508
14.0,14,0.942482
12.0,12,0.952455
42.0,42,0.98437
45.0,45,1.020272
15.0,15,1.031243
35.0,35,1.057174
17.0,17,1.071137
28.0,28,1.092081
20.0,20,1.108038
27.0,27,1.127985
29.0,29,1.149926
12.0,12,1.158902
10.0,10,1.166881
19.0,19,1.180843
16.0,16,1.192811
14.0,14,1.203782
10.0,10,1.210763
21.0,21,1.228717
19.0,19,1.244674
11.0,11,1.252653
12.0,12,1.261629
45.0,45,1.294541
15.0,15,1.305512
26.0,26,1.325457
21.0,21,1.340419
23.0,23,1.357373
30.0,30,1.380311
14.0,14,1.390285
10.0,10,1.398264
14.0,14,1.408237
29.0,29,1.430178
10.0,10,1.43716
21.0,21,1.453117
16.0,16,1.465085
25.0,25,1.483037
17.0,17,1.496003
18.0,18,1.509965
17.0,17,1.521933
20.0,20,1.536893
9.0,9,1.543875
17.0,17,1.555843
37.0,37,1.583768
33.0,33,1.608701
12.0,12,1.618675
15.0,15,3.219395
23.0,23,3.241336
40.0,40,3.279235
48.0,48,3.324116
15.0,15,3.339075
16.0,16,3.353037
75.0,75,3.421854
41.0,41,3.454766
21.0,21,3.470723
27.0,27,3.492665
16.0,16,3.504634
32.0,32,3.529567
41.0,41,3.560484
34.0,34,3.586415
18.0,18,3.600377
30.0,30,3.623315
15.0,15,3.635283
12.0,12,3.644259
37.0,37,3.672184
25.0,25,3.691134
22.0,22,3.708088
21.0,21,3.724046
16.0,16,3.737011
59.0,59,3.781891
24.0,24,3.799843
22.0,22,3.816798
26.0,26,3.836744
11.0,11,3.844723
12.0,12,3.853699
40.0,40,3.884617
19.0,19,3.899576
39.0,39,3.929497
18.0,18,3.943459
35.0,35,3.96939
31.0,31,3.993326
38.0,38,4.026267
65.0,65,4.074111
101.0,101,4.158884
32.0,32,4.188806
47.0,47,4.230692
53.0,53,4.276569
32.0,32,4.306489
61.0,61,4.362368
22.0,22,4.382288
20.0,20,4.400241
12.0,12,4.411211
19.0,19,4.428164
74.0,74,4.488004
22.0,22,4.504958
79.0,79,4.567791
25.0,25,4.58674
22.0,22,4.604692
21.0,21,4.620649
19.0,19,4.636606
38.0,38,4.667527
41.0,41,4.702431
19.0,19,4.718389
20.0,20,4.735343
35.0,35,4.763269
15.0,15,4.776234
44.0,44,4.811141
73.0,73,4.868987
16.0,16,4.883947
26.0,26,6.849692
48.0,48,6.903548
54.0,54,6.957405
35.0,35,6.991313
63.0,63,7.051153
50.0,50,7.098028
45.0,45,7.132935
15.0,15,7.143906
15.0,15,7.154877
54.0,54,7.195768
16.0,16,7.207735
44.0,44,7.240647
28.0,28,7.26159
71.0,71,7.314449
58.0,58,7.357334
44.0,44,7.390246
61.0,61,7.436124
45.0,45,7.469036
17.0,17,7.481004
19.0,19,7.494967
41.0,41,7.526882
37.0,37,7.564783
21.0,21,7.58772
62.0,62,7.646562
60.0,60,7.70042
21.0,21,7.718373
14.0,14,7.729342
89.0,89,7.800151
41.0,41,7.832067
80.0,80,7.893902
67.0,67,7.942771
54.0,54,7.982664
69.0,69,8.037518
174.0,174,8.181132
21.0,21,8.19709
35.0,35,8.226012
20.0,20,8.242967
46.0,46,8.277874
67.0,67,8.328767
85.0,85,8.393593
95.0,95,8.464375
51.0,51,10.141892
58.0,58,10.196745
108.0,108,10.297476
34.0,34,10.329391
82.0,82,10.394246
62.0,62,10.441092
119.0,119,10.529855
24.0,24,10.547807
79.0,79,10.606649
91.0,91,10.674468
21.0,21,10.690425
35.0,35,10.715359
25.0,25,10.734308
38.0,38,10.762233
132.0,132,10.858975
75.0,75,10.913828
19.0,19,10.928788
44.0,44,10.9617
34.0,34,10.987631
23.0,23,11.005584
110.0,110,11.091354
94.0,94,11.166155
91.0,91,11.234971
57.0,57,11.277857
56.0,56,11.320742
80.0,80,11.381579
255.0,255,11.575063
26.0,26,11.595009
103.0,103,11.673797
34.0,34,11.699728
26.0,26,11.719703
59.0,59,13.598652
137.0,137,13.726311
260.0,260,13.933757
108.0,108,14.013543
177.0,177,14.146189
106.0,106,14.252903
