#{"t_start": 1725118723.666055, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.130965
-200.0,200,0.248898
-200.0,200,0.349937
-200.0,200,0.447752
-200.0,200,0.545654
-200.0,200,0.643458
-200.0,200,0.741243
-200.0,200,0.839556
-200.0,200,0.937723
-200.0,200,1.035559
-200.0,200,17.061378
-200.0,200,17.17912
-200.0,200,17.297683
-200.0,200,17.415244
-200.0,200,17.533206
-200.0,200,17.650562
-200.0,200,17.768346
-200.0,200,17.886327
-200.0,200,18.003962
-200.0,200,18.12195
-200.0,200,33.952431
