#{"t_start": 1725175567.7644846, "env_id": "BipedalWalker-v3"}
r,l,t
-102.972481,91,0.180188
-101.62542,70,0.294459
-118.195493,89,0.437595
-104.353802,94,0.586022
-122.072943,1600,3.108622
-102.942539,1600,18.74279
-116.911932,57,18.83667
-105.409296,1600,34.505022
-103.485604,1600,50.224381
-107.247542,1600,65.779932
-98.280427,1600,68.344079
-87.331966,1600,83.785748
-74.134835,1600,99.227887
-89.173847,1600,114.64299
-105.211157,78,114.763281
-105.124552,104,114.927041
-66.102659,1600,130.735784
-106.282343,90,130.875983
-110.876236,69,130.984604
-120.396252,80,131.109715
-72.060288,1600,133.587477
-56.521593,1600,149.403971
-61.882377,1600,165.052057
-54.650727,1600,180.557213
-43.471263,1600,195.973182
-46.586231,1600,198.371033
-23.166448,1600,214.200979
-40.766668,1600,229.730409
-12.557396,1600,245.343505
-115.32824,50,245.420841
-6.692215,1600,260.962633
15.406767,1600,263.357133
25.989993,1600,279.172426
29.741163,1600,295.172414
28.853505,1600,310.999709
48.735074,1600,313.369953
46.111802,1600,329.080839
47.864984,1600,344.925069
82.671385,1600,360.526233
-110.503768,77,360.641909
78.014194,1600,376.183432
101.594026,1600,378.527487
85.847533,1600,393.97577
